----------- coverage: platform win32, python 3.8.1-final-0 -----------
Name                                                                                Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------
survol\__init__.py                                                                      4      0   100%
survol\class_type_all.py                                                              143     43    70%
survol\class_wbem.py                                                                  111    111     0%
survol\class_wmi.py                                                                    63     30    52%
survol\crawler_server.py                                                                0      0   100%
survol\direct_access.py                                                                 0      0   100%
survol\display_bookmarks.py                                                            64     64     0%
survol\edit_configuration.py                                                           30     30     0%
survol\edit_credentials.py                                                            207    207     0%
survol\edit_supervisor.py                                                              61     61     0%
survol\entity.py                                                                       88      9    90%
survol\entity_deleted.py                                                                0      0   100%
survol\entity_dirmenu_only.py                                                         144     19    87%
survol\entity_info_only.py                                                             41     41     0%
survol\entity_mime.py                                                                  28      2    93%
survol\entity_wbem.py                                                                 123    123     0%
survol\entity_wmi.py                                                                  139    139     0%
survol\event_get.py                                                                    19     19     0%
survol\event_put.py                                                                    73     17    77%
survol\lib_arp.py                                                                      55     21    62%
survol\lib_bookmark.py                                                                 61     61     0%
survol\lib_calls_sequences.py                                                          94     15    84%
survol\lib_cgi.py                                                                       0      0   100%
survol\lib_client.py                                                                  503     66    87%
survol\lib_com_type_lib.py                                                             49      2    96%
survol\lib_command_line.py                                                             35     29    17%
survol\lib_common.py                                                                  450    121    73%
survol\lib_credentials.py                                                             118     55    53%
survol\lib_daemon.py                                                                   80      6    92%
survol\lib_dbus.py                                                                     11     11     0%
survol\lib_doxygen.py                                                                 115     98    15%
survol\lib_edition_parameters.py                                                       63      2    97%
survol\lib_elf.py                                                                     179    175     2%
survol\lib_event.py                                                                    38      2    95%
survol\lib_export_dot.py                                                              523    140    73%
survol\lib_export_html.py                                                             393     79    80%
survol\lib_export_json.py                                                             129     16    88%
survol\lib_export_ontology.py                                                         102      6    94%
survol\lib_exports.py                                                                  64      1    98%
survol\lib_grammar.py                                                                  16      6    62%
survol\lib_kbase.py                                                                   294     59    80%
survol\lib_mime.py                                                                     42     11    74%
survol\lib_modules.py                                                                  40     33    18%
survol\lib_naming.py                                                                  134     26    81%
survol\lib_nm.py                                                                       26     16    38%
survol\lib_ontology_tools.py                                                           84      3    96%
survol\lib_oracle.py                                                                   98     79    19%
survol\lib_patterns.py                                                                 94     14    85%
survol\lib_pefile.py                                                                   18      0   100%
survol\lib_properties.py                                                              140      1    99%
survol\lib_psutil.py                                                                   64     13    80%
survol\lib_python.py                                                                   17      4    76%
survol\lib_shared_lib_path.py                                                          24     24     0%
survol\lib_smb.py                                                                      15     11    27%
survol\lib_smbclient.py                                                                39     39     0%
survol\lib_sparql.py                                                                  457    406    11%
survol\lib_sparql_callback_survol.py                                                   73     73     0%
survol\lib_sparql_custom_evals.py                                                     677     41    94%
survol\lib_sql.py                                                                     127     10    92%
survol\lib_symbol.py                                                                   79     79     0%
survol\lib_symlink.py                                                                  33     24    27%
survol\lib_uris.py                                                                    138     21    85%
survol\lib_util.py                                                                    893    183    80%
survol\lib_wbem.py                                                                    355    239    33%
survol\lib_win32.py                                                                    98     48    51%
survol\lib_wmi.py                                                                     575    145    75%
survol\merge_scripts.py                                                                64     64     0%
survol\namespaces_wbem.py                                                              27     27     0%
survol\namespaces_wmi.py                                                               51     10    80%
survol\objtypes.py                                                                     33      0   100%
survol\objtypes_wbem.py                                                                70     47    33%
survol\objtypes_wmi.py                                                                 96     28    71%
survol\ontologies\Survol_RDFS.py                                                       17      2    88%
survol\ontologies\WBEM_RDFS.py                                                         18     18     0%
survol\ontologies\WMI_RDFS.py                                                          17      2    88%
survol\ontologies\__init__.py                                                           0      0   100%
survol\portal_wbem.py                                                                  26      2    92%
survol\portal_wmi.py                                                                   19      1    95%
survol\print_environment_variables.py                                                  29     29     0%
survol\print_internal_data_as_json.py                                                   8      0   100%
survol\scripts\__init__.py                                                              0      0   100%
survol\scripts\cgiserver.py                                                           185    134    28%
survol\scripts\cgitwisted.py                                                            8      8     0%
survol\scripts\cim_objects_definitions.py                                            1152    192    83%
survol\scripts\crawler_client.py                                                        1      1     0%
survol\scripts\cython_shadow.py                                                       303    303     0%
survol\scripts\daemon_factory.py                                                      340    136    60%
survol\scripts\dockit.py                                                              546    164    70%
survol\scripts\dockit_aggregate_clusterize.py                                         169      8    95%
survol\scripts\linux_api_definitions.py                                               989    142    86%
survol\scripts\load_bookmarks.py                                                       79     79     0%
survol\scripts\naming_conventions.py                                                   71     24    66%
survol\scripts\pydbg\__init__.py                                                       13      0   100%
survol\scripts\pydbg\breakpoint.py                                                     13      0   100%
survol\scripts\pydbg\defines.py                                                        87      1    99%
survol\scripts\pydbg\hardware_breakpoint.py                                            17      7    59%
survol\scripts\pydbg\memory_breakpoint.py                                              24     10    58%
survol\scripts\pydbg\memory_snapshot_block.py                                           7      2    71%
survol\scripts\pydbg\memory_snapshot_context.py                                         7      2    71%
survol\scripts\pydbg\my_ctypes.py                                                       9      4    56%
survol\scripts\pydbg\pdx.py                                                            21      3    86%
survol\scripts\pydbg\pydbg.py                                                        1632    946    42%
survol\scripts\pydbg\pydbg_client.py                                                   81     59    27%
survol\scripts\pydbg\setup.py                                                           2      2     0%
survol\scripts\pydbg\system_dll.py                                                     80      3    96%
survol\scripts\pydbg\utils\__init__.py                                                 13      5    62%
survol\scripts\pydbg\utils\code_coverage.py                                           199    164    18%
survol\scripts\pydbg\utils\crash_binning.py                                           123     93    24%
survol\scripts\pydbg\utils\hooking.py                                                  67     12    82%
survol\scripts\pydbg\utils\injection.py                                                59     47    20%
survol\scripts\pydbg\utils\udraw_connector.py                                          87     67    23%
survol\scripts\pydbg\windows_h.py                                                     254     30    88%
survol\scripts\supervisor_twiddler\__init__.py                                          1      1     0%
survol\scripts\supervisor_twiddler\compat.py                                           19     19     0%
survol\scripts\supervisor_twiddler\resulthandler.py                                    19     19     0%
survol\scripts\supervisor_twiddler\rpcinterface.py                                     86     86     0%
survol\scripts\win32_api_definitions.py                                               679    125    82%
survol\scripts\wsgiserver.py                                                          207    155    25%
survol\scripts\wsgitwisted.py                                                          12     12     0%
survol\sources_types\Azure\__init__.py                                                 10      5    50%
survol\sources_types\Azure\disk\__init__.py                                            11      4    64%
survol\sources_types\Azure\disk\disk_information.py                                    46     46     0%
survol\sources_types\Azure\enumerate_location.py                                       33     25    24%
survol\sources_types\Azure\enumerate_service.py                                        37     29    22%
survol\sources_types\Azure\enumerate_subscription.py                                   19     12    37%
survol\sources_types\Azure\location\__init__.py                                        11      4    64%
survol\sources_types\Azure\service\__init__.py                                         11      4    64%
survol\sources_types\Azure\service\service_information.py                              46     46     0%
survol\sources_types\Azure\subscription\__init__.py                                    31     24    23%
survol\sources_types\Azure\subscription\subscription_disk.py                           53     53     0%
survol\sources_types\Azure\subscription\subscription_information.py                    33     33     0%
survol\sources_types\Azure\subscription\subscription_locations.py                      31     31     0%
survol\sources_types\Azure\subscription\subscription_services.py                       34     34     0%
survol\sources_types\CIM_ComputerSystem\Win32\__init__.py                               2      0   100%
survol\sources_types\CIM_ComputerSystem\Win32\win32_NetSessionEnum.py                  26      6    77%
survol\sources_types\CIM_ComputerSystem\Win32\win32_NetShareEnum.py                    44      7    84%
survol\sources_types\CIM_ComputerSystem\Win32\win32_NetUserEnum.py                     43     21    51%
survol\sources_types\CIM_ComputerSystem\Win32\win32_domain_machines.py                 56     27    52%
survol\sources_types\CIM_ComputerSystem\Win32\win32_host_local_groups.py               64      9    86%
survol\sources_types\CIM_ComputerSystem\Win32\win32_hostname_services.py               17      2    88%
survol\sources_types\CIM_ComputerSystem\__init__.py                                    76     36    53%
survol\sources_types\CIM_ComputerSystem\connected_sockets.py                           46     34    26%
survol\sources_types\CIM_ComputerSystem\hostname_mysql_instances.py                    30     20    33%
survol\sources_types\CIM_ComputerSystem\hostname_nmap.py                               46     34    26%
survol\sources_types\CIM_ComputerSystem\hostname_shares_smbclient.py                   46     26    43%
survol\sources_types\CIM_ComputerSystem\hostname_whois.py                               2      0   100%
survol\sources_types\CIM_ComputerSystem\java\__init__.py                                0      0   100%
survol\sources_types\CIM_ComputerSystem\java\rmi_registry.py                           21     13    38%
survol\sources_types\CIM_ComputerSystem\wbem_hostname_processes.py                     42     31    26%
survol\sources_types\CIM_ComputerSystem\wmi_hostname_partitions.py                     39     28    28%
survol\sources_types\CIM_ComputerSystem\wmi_hostname_processes.py                      42     30    29%
survol\sources_types\CIM_DataFile\Radare2\__init__.py                                   3      0   100%
survol\sources_types\CIM_DataFile\Radare2\radare2_functions_list.py                    65     65     0%
survol\sources_types\CIM_DataFile\Radare2\radare2_global_export_symbols.py             41     41     0%
survol\sources_types\CIM_DataFile\Radare2\radare2_imports.py                           49     49     0%
survol\sources_types\CIM_DataFile\__init__.py                                         201     87    57%
survol\sources_types\CIM_DataFile\db_sqllite.py                                        22     10    55%
survol\sources_types\CIM_DataFile\doxygen_file.py                                      30     17    43%
survol\sources_types\CIM_DataFile\elftools_parse_classes.py                            59     54     8%
survol\sources_types\CIM_DataFile\elftools_parse_symbols.py                            55     49    11%
survol\sources_types\CIM_DataFile\file_msvc_sln.py                                     19      6    68%
survol\sources_types\CIM_DataFile\file_msvc_vcxproj.py                                 19      6    68%
survol\sources_types\CIM_DataFile\file_stat.py                                         36      1    97%
survol\sources_types\CIM_DataFile\file_symlinks.py                                     24     10    58%
survol\sources_types\CIM_DataFile\grep_sql_queries.py                                  40      4    90%
survol\sources_types\CIM_DataFile\grep_text_strings.py                                 42      5    88%
survol\sources_types\CIM_DataFile\java_properties.py                                   54     22    59%
survol\sources_types\CIM_DataFile\ldd_depends.py                                       35     21    40%
survol\sources_types\CIM_DataFile\linux_fuser.py                                       19      8    58%
survol\sources_types\CIM_DataFile\linux_nm.py                                          33     19    42%
survol\sources_types\CIM_DataFile\linux_nm_classes.py                                  69     52    25%
survol\sources_types\CIM_DataFile\mapping_processes.py                                 12      1    92%
survol\sources_types\CIM_DataFile\module_deps.py                                       28     15    46%
survol\sources_types\CIM_DataFile\portable_executable\__init__.py                       3      0   100%
survol\sources_types\CIM_DataFile\portable_executable\pefile_depends.py                52     52     0%
survol\sources_types\CIM_DataFile\portable_executable\pefile_exports.py                53     16    70%
survol\sources_types\CIM_DataFile\portable_executable\pefile_imports.py                50     50     0%
survol\sources_types\CIM_DataFile\portable_executable\pefile_information.py            43     43     0%
survol\sources_types\CIM_DataFile\portable_executable\section\__init__.py              12      5    58%
survol\sources_types\CIM_DataFile\python_file_dis.py                                   24      2    92%
survol\sources_types\CIM_DataFile\python_properties.py                                 30      1    97%
survol\sources_types\CIM_DataFile\visual_studio_files.py                               31     12    61%
survol\sources_types\CIM_DataFile\win_depends.py                                       61     32    48%
survol\sources_types\CIM_DataFile\win_dumpbin.py                                       37     25    32%
survol\sources_types\CIM_DataFile\win_resource_icons.py                                26      0   100%
survol\sources_types\CIM_Directory\__init__.py                                         11      0   100%
survol\sources_types\CIM_Directory\dir_stat.py                                         37      2    95%
survol\sources_types\CIM_Directory\dir_symlinks.py                                     24     10    58%
survol\sources_types\CIM_Directory\doxygen_dir.py                                      25     13    48%
survol\sources_types\CIM_Directory\events_feeder_win32_dir_changes.py                  65     27    58%
survol\sources_types\CIM_Directory\file_directory.py                                   76     10    87%
survol\sources_types\CIM_DiskDrive\__init__.py                                          2      0   100%
survol\sources_types\CIM_DiskDrive\linux_disk_partitions.py                            13     13     0%
survol\sources_types\CIM_DiskPartition\__init__.py                                     12      5    58%
survol\sources_types\CIM_DiskPartition\partition_diskusage.py                          20     20     0%
survol\sources_types\CIM_LogicalDisk\__init__.py                                        2      0   100%
survol\sources_types\CIM_NetworkAdapter\__init__.py                                     6      0   100%
survol\sources_types\CIM_OperatingSystem\__init__.py                                    0      0   100%
survol\sources_types\CIM_Process\CDB\__init__.py                                       17     11    35%
survol\sources_types\CIM_Process\CDB\win_cdb_callstack.py                              76     56    26%
survol\sources_types\CIM_Process\CDB\win_cdb_modules.py                                69     49    29%
